id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2022-327256";"2022-06-14";"1";"Vente";"418120.0";"31";"None";"RUE SAINT JEAN";"6425";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0042";"None";"None";"9";"82.74";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"80.0";"3.0";"None";"None";"None";"None";"nan";"4.82789";"45.762595";"000AH"
"2022-327256";"2022-06-14";"1";"Vente";"418120.0";"31";"None";"RUE SAINT JEAN";"6425";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0042";"None";"None";"9";"82.74";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.82789";"45.762595";"000AH"
"2022-327256";"2022-06-14";"1";"Vente";"418120.0";"31";"None";"RUE SAINT JEAN";"6425";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0042";"None";"None";"9";"82.74";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.82789";"45.762595";"000AH"
"2022-325249";"2022-06-08";"1";"Vente";"208170.0";"34";"None";"RUE SAINT JEAN";"6425";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0057";"None";"None";"133";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"29.0";"2.0";"None";"None";"None";"None";"nan";"4.827546";"45.762886";"000AH"
"2022-325114";"2022-06-07";"1";"Vente";"210000.0";"5";"None";"PL DE LA BALEINE";"0600";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0019";"None";"None";"30";"nan";"7";"58.74";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"50.0";"2.0";"None";"None";"None";"None";"nan";"4.828289";"45.763104";"000AH"
"2022-325687";"2022-06-07";"1";"Vente";"2032030.0";"34";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0094";"None";"None";"72";"184.06";"73";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"187.0";"5.0";"None";"None";"None";"None";"nan";"4.826151";"45.762451";"000AH"
"2022-325114";"2022-06-07";"1";"Vente";"210000.0";"5";"None";"PL DE LA BALEINE";"0600";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0019";"None";"None";"30";"nan";"7";"58.74";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828289";"45.763104";"000AH"
"2022-325687";"2022-06-07";"1";"Vente";"2032030.0";"34";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0094";"None";"None";"72";"184.06";"73";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.826151";"45.762451";"000AH"
"2022-325687";"2022-06-07";"1";"Vente";"2032030.0";"34";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0094";"None";"None";"44";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.826151";"45.762451";"000AH"
"2022-325687";"2022-06-07";"1";"Vente";"2032030.0";"34";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0094";"None";"None";"42";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.826151";"45.762451";"000AH"
"2022-325687";"2022-06-07";"1";"Vente";"2032030.0";"34";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0094";"None";"None";"76";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.826151";"45.762451";"000AH"
"2022-325687";"2022-06-07";"1";"Vente";"2032030.0";"34";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0094";"None";"None";"72";"184.06";"73";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.826151";"45.762451";"000AH"
"2022-325905";"2022-05-30";"1";"Vente";"375000.0";"1";"None";"PL NEUVE ST JEAN";"5015";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0068";"None";"None";"11";"65.9";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"64.0";"3.0";"None";"None";"None";"None";"nan";"4.827425";"45.762508";"000AH"
"2022-324920";"2022-05-24";"1";"Vente";"160000.0";"29";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0090";"None";"None";"15";"nan";"28";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"37.0";"1.0";"None";"None";"None";"None";"nan";"4.826669";"45.762131";"000AH"
"2022-324920";"2022-05-24";"1";"Vente";"160000.0";"29";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0090";"None";"None";"15";"nan";"28";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.826669";"45.762131";"000AH"
"2022-325418";"2022-05-19";"1";"Vente";"231000.0";"31";"None";"RUE SAINT JEAN";"6425";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0042";"None";"None";"6";"41.7";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"42.0";"2.0";"None";"None";"None";"None";"nan";"4.82789";"45.762595";"000AH"
"2022-325418";"2022-05-19";"1";"Vente";"231000.0";"31";"None";"RUE SAINT JEAN";"6425";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0042";"None";"None";"6";"41.7";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.82789";"45.762595";"000AH"
"2022-325125";"2022-05-17";"1";"Vente";"231000.0";"19";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0075";"None";"None";"112";"34.57";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"31.0";"1.0";"None";"None";"None";"None";"nan";"4.826932";"45.762404";"000AH"
"2022-323529";"2022-05-03";"1";"Vente";"570000.0";"19";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0031";"None";"None";"10";"139.45";"22";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"138.0";"4.0";"None";"None";"None";"None";"nan";"4.828567";"45.762654";"000AH"
"2022-322535";"2022-04-15";"1";"Vente";"443500.0";"32";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0095";"None";"None";"28";"nan";"3";"89.01";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"99.0";"2.0";"None";"None";"None";"None";"nan";"4.826293";"45.762612";"000AH"
"2022-321923";"2022-03-17";"1";"Vente";"240000.0";"18";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0120";"None";"None";"4";"55.0";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"62.0";"3.0";"None";"None";"None";"None";"nan";"4.828684";"45.762698";"000AH"
"2022-321144";"2022-01-19";"1";"Vente";"1034554.0";"21";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0033";"None";"None";"22";"136.09";"27";"nan";"3";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"134.0";"4.0";"None";"None";"None";"None";"nan";"4.828572";"45.762465";"000AH"
"2022-321144";"2022-01-19";"1";"Vente";"1034554.0";"21";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0033";"None";"None";"22";"136.09";"27";"nan";"3";"nan";"None";"None";"None";"None";"3";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828572";"45.762465";"000AH"
"2022-321144";"2022-01-19";"1";"Vente";"1034554.0";"21";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0033";"None";"None";"22";"136.09";"27";"nan";"3";"nan";"None";"None";"None";"None";"3";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828572";"45.762465";"000AH"
"2021-1062523";"2021-12-28";"1";"Vente";"320000.0";"20";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0032";"None";"None";"6";"85.93";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"94.0";"2.0";"None";"None";"None";"None";"nan";"4.828611";"45.762547";"000AH"
"2021-1062523";"2021-12-28";"1";"Vente";"320000.0";"20";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0032";"None";"None";"7";"86.86";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"87.0";"3.0";"None";"None";"None";"None";"nan";"4.828611";"45.762547";"000AH"
"2021-1062523";"2021-12-28";"1";"Vente";"320000.0";"20";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0032";"None";"None";"7";"86.86";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828611";"45.762547";"000AH"
"2021-1062523";"2021-12-28";"1";"Vente";"320000.0";"20";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0032";"None";"None";"7";"86.86";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828611";"45.762547";"000AH"
"2021-1062523";"2021-12-28";"1";"Vente";"320000.0";"20";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0032";"None";"None";"6";"85.93";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828611";"45.762547";"000AH"
"2021-1062523";"2021-12-28";"1";"Vente";"320000.0";"20";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0032";"None";"None";"6";"85.93";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828611";"45.762547";"000AH"
"2021-1061993";"2021-12-02";"1";"Vente";"687000.0";"3";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0014";"None";"None";"109";"nan";"110";"nan";"121";"123.32";"122";"None";"None";"None";"4";"2";"Appartement";"122.0";"5.0";"None";"None";"None";"None";"nan";"4.827546";"45.763192";"000AH"
"2021-1061993";"2021-12-02";"1";"Vente";"687000.0";"3";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0014";"None";"None";"109";"nan";"110";"nan";"121";"123.32";"122";"None";"None";"None";"4";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.827546";"45.763192";"000AH"
"2021-1061993";"2021-12-02";"1";"Vente";"687000.0";"3";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0014";"None";"None";"109";"nan";"110";"nan";"121";"123.32";"122";"None";"None";"None";"4";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.827546";"45.763192";"000AH"
"2021-1061735";"2021-11-09";"1";"Vente";"411200.0";"12";"None";"RUE DU BOEUF";"0950";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0106";"None";"None";"128";"nan";"129";"nan";"130";"nan";"133";"None";"147";"None";"6";"2";"Appartement";"83.0";"3.0";"None";"None";"None";"None";"nan";"4.826829";"45.76326";"000AH"
"2021-1061874";"2021-11-09";"1";"Vente";"145000.0";"1";"B";"MTE DU GARILLAN";"3035";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0007";"None";"None";"14";"nan";"3";"31.1";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"35.0";"1.0";"None";"None";"None";"None";"nan";"4.826886";"45.763556";"000AH"
"2021-1061130";"2021-10-20";"1";"Vente";"3000.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"33";"nan";"34";"nan";"None";"nan";"None";"None";"None";"None";"2";"2";"Appartement";"52.0";"2.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1061130";"2021-10-20";"1";"Vente";"3000.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"32";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"106.0";"3.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1061130";"2021-10-20";"1";"Vente";"3000.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"30";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"144.0";"4.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1061130";"2021-10-20";"1";"Vente";"3000.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"29";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"106.0";"3.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1061130";"2021-10-20";"1";"Vente";"3000.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"32";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1061130";"2021-10-20";"1";"Vente";"3000.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"33";"nan";"34";"nan";"None";"nan";"None";"None";"None";"None";"2";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1061130";"2021-10-20";"1";"Vente";"3000.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"29";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1061130";"2021-10-20";"1";"Vente";"3000.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"30";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1061166";"2021-10-15";"1";"Vente";"1507300.0";"15";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0124";"None";"None";"13";"274.77";"14";"nan";"15";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"260.0";"5.0";"None";"None";"None";"None";"nan";"4.828762";"45.763084";"000AH"
"2021-1061166";"2021-10-15";"1";"Vente";"1507300.0";"5";"None";"RUE DES TROIS MARIES";"7160";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0126";"None";"None";"11";"nan";"16";"nan";"9";"nan";"None";"None";"None";"None";"3";"2";"Appartement";"41.0";"2.0";"None";"None";"None";"None";"nan";"4.828628";"45.763099";"000AH"
"2021-1061166";"2021-10-15";"1";"Vente";"1507300.0";"15";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0124";"None";"None";"13";"274.77";"14";"nan";"15";"nan";"None";"None";"None";"None";"3";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828762";"45.763084";"000AH"
"2021-1061166";"2021-10-15";"1";"Vente";"1507300.0";"5";"None";"RUE DES TROIS MARIES";"7160";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0126";"None";"None";"11";"nan";"16";"nan";"9";"nan";"None";"None";"None";"None";"3";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828628";"45.763099";"000AH"
"2021-1061166";"2021-10-15";"1";"Vente";"1507300.0";"5";"None";"RUE DES TROIS MARIES";"7160";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0126";"None";"None";"8";"304.15";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828628";"45.763099";"000AH"
"2021-1060939";"2021-10-05";"1";"Vente";"370000.0";"3";"None";"RUE DES TROIS MARIES";"7160";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0023";"None";"None";"5";"nan";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"49.0";"2.0";"None";"None";"None";"None";"nan";"4.828528";"45.763117";"000AH"
"2021-1060409";"2021-09-15";"1";"Vente";"684800.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"21";"143.6";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"2";"Appartement";"144.0";"4.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
"2021-1060409";"2021-09-15";"1";"Vente";"684800.0";"22";"None";"QUAI ROMAIN ROLLAND";"6110";"69005";"69385";"Lyon 5e Arrondissement";"69";"None";"None";"69385000AH0034";"None";"None";"21";"143.6";"None";"nan";"None";"nan";"None";"None";"None";"None";"1";"3";"Dépendance";"nan";"0.0";"None";"None";"None";"None";"nan";"4.828516";"45.762396";"000AH"
